Id,Title,Artist
Q06wFUi5OM8,Matilda,Alt-J (∆)
0tBam6qXVDg,Bloodflood,Alt-J (∆)
n2m90GEsnIs,Imitosis,Andrew Bird
ZdZqgyz84YY,Left Handed Kisses,Andrew Bird
PDKKeLhHgl8,House of the Rising Sun,The Animals
wJVpihgwE18,We've Gotta Get Out of This Place,Animals
eu0zrLs3CSI,Houna,BB Brunes
H_IYsJB7XkM,Jim Cain,Bill Callahan
iCQYRBVfYNc,Red Flag,Billy Talent
O0m6CjQHiDM,River Below,Billy Talent
mQER0A0ej0M,Hey Jude,The Beatles
xxaOItEmu3U,Lucy in the Sky With Diamonds,The Beatles
m2uTFF_3MaA,Yellow Submarine,The Beatles
CAnzlf0jUhQ,Helicopter,Bloc Party
qJ7nAux8LIM,Look Inside America,Blur
UOg_8hCC4u4,Across 110th Street,Bobby Womack
SSR6ZzjDZ94,More Than a Feeling,Boston
ef65cLi1gpY,Rock 'N' Roll Band,Boston
5GzMx9CnhVk,Smokin',Boston
lZD4ezDbbu4,Born in the USA,Bruce Springsteen
ZaDQaPoLyDY,King James,Buckethead
1sYbbk2yN0o,Siege Engine,Buckethead
EN8iXk_ZyjA,The Redeem Team,Buckethead
ZFo8-JqzSCM,Johnny B. Goode,Chuck Berry
t6OS_ItMGpc,No Particular Place to Go,Chuck Berry
RoDPPgWbfXY,You Never Can Tell,Chuck Berry
ShCSuFSauzU,Jimmy Jazz,The Clash
4vHvzybkqfo,London Calling,The Clash
BN1WwnEDWAM,Should I Stay or Should I Go,The Clash
9GkVhgIeGJQ,Boys Don't Cry,The Cure
Pb-rihW_SwU,Close to Me,The Cure
RGT4V6JmINA,A Forest,The Cure
uI8WQKgyGKk,Pain,Danger Mouse
MSlpK0U9dhE,Bend It,Dave Dee Dozy Beaky Mick and Tich
xEqSOst1dg8,Heroes,David Bowie
xEqSOst1dg8,Space Oddity,David Bowie
EhGEGIBGLu8,Holy Diver,Dio
l6hof4ZNTVw,Dream Evil,Dio
R2V09qFtdbw,Time to Burn,Dio
iv8GW1GaoIc,Riders on the Storm,The Doors
n2_X4VTCoEo,Roadhouse Blues,The Doors
JSUIQgEVDM4,The End,The Doors
EqPtz5qN7HM,Hotel California,Eagles
4tcXblWojdM,Life in the Fast Lane,Eagles
3hfIAO05H5U,Victim of Love,Eagles
gj0Rz-uP4Mk,Jailhouse Rock,Elvis Presley
89g1P_J40JA,Lucky Man,Emerson, Lake & Palmer
ckM51xoTC2U,Radar Love,Golden Earring
y6lfK3bH4z8,November Rain,Guns 'N' Roses
1w7OgIMMRc4,Sweet Child O' Mine,Guns 'N' Roses
isCh4kCeNYU,Civil War,Guns 'N' Roses
jQvUBf5l7Vw,Lust for Life,Iggy Pop
hLhN__oEHaw,The Passenger,Iggy Pop
UIVe-rZBcm4,In-A-Gadda-Da-Vida,Iron Butterfly
TLV4_xaYynY,All Along the Watchtower,The Jimi Hendrix Experience
_PVjcIO4MT4,Foxy Lady,The Jimi Hendrix Experience
IZBlqcbpmxY,Voodoo Child,The Jimi Hendrix Experience
WXV_QjenbDw,Me And Bobby McGee,Janis Joplin
j0f5ZG9LG6k,Piece of my Heart,Janis Joplin
VfGSd-tikH4,Cry Baby,Janis Joplin
wHo43B6nu60,Freeze-Frame,The J. Geils Band
E0LAs7X5ybE,Love Stinks,The J. Geils Band
BqDjMZKf-wg,Centerfold,The J. Geils Band
EUY2kJE0AZE,White Rabbit,Jefferson Airplane
JUbMWtUyIIE,Somebody to Love,Jefferson Airplane
fzfnnkr8ZEU,High Flyin' Bird,Jefferson Airplane
bNCT6pA5I9A,Locomotive Breath,Jethro Tull
N2RNe2jwHE0,Bourée,Jethro Tull
B0jMPI_pUec,Aqualung,Jethro Tull
iC8oP4Z_xPw,I love Rock N' Roll,Joan Jett
KNVUe9ZjDsg,I hate Myself for Loving You,Joan Jett
4XTkt5riFqs,Bad Reputation,Joan Jett
hfgwrdYUQ2A,You Can Leave your Hat On,Joe Cocker
X5r1ub00btE,Sunday Paper,Joe Jackson
V8-b9LK1trE,Look Sharp!,Joe Jackson
n34s98WpwJg,It's Different for Girls,Joe Jackson
W6VMLisShZM,Ma Gueule,Johnny Halliday
s3O1Xro7oAI,Allumer le Feu,Johnny Halliday
SMRYLVTUswU,Anyway You Want It,Journey
nM__lPTWThU,Painkiller,Judas Priest
_gopyByrAtY,Living After Midnight,Judas Priest
PZggNFZyOLw,Lightning Strike,Judas Priest
hamKl-su8PE,I Predict a Riot,Kaiser Chiefs
qObzgUfCl28,Ruby,Kaiser Chiefs
OfR6_V91fG8,Starless,King Crimson
Em2Bvb-Hz6Q,The Court of the Crimson King,King Crimson
QFsqacN1ZCY,Epitaph,King Crimson
B_oFiNdp8UQ,Rock N' Roll all Night,Kiss
EZjevnnkA20,Heaven's on Fire,Kiss
BR2JtsVumFA,My Sharona,The Knack
oG6fayQBm9w,Walk on the Wild Side,Lou Reed
D0W1v0kOELA,Free Bird,Lynyrd Skynyrd
ye5BuYf8q4o,Sweet Home Alabama,Lynyrd Skynyrd
iFNbTdLfBwQ,Tuesday's Gone,Lynyrd Skynyrd
ksyzrzCQyBE,Ça me vexe,Mademoiselle K
BnG8OI50BEk,Our House,Madness
7yHTpGog0IY,American Pie,Don McLean
MMJsrZkEZZw,Nono,Magma
MA-g77MUBDM,Hhai,Magma
xnKhsTXoKCI,Master of Puppets,Metallica
tyBiHyazMOc,One,Metallica
c8qrwON1-zE,Orion,Metallica
sC7v3vpBpAs,Ace of Spades,Motörhead
ABX0ELBe3rg,Brotherhood Of Man,Motörhead
T9ndbPUSYDQ,Rock N' Roll,Motörhead
3dm_5qWWDV8,Hysteria,Muse
Pgum6OT_VH8,Starlight,Muse
z9D71pQaTnc,Knight of Cydonia,Muse
cmpRLQZkTb8,Don't Look Back in Anger,Oasis
Y7I1nCcwJP0,Wonderwall,Oasis
2W5COCMmV8o,A Fleeting Glance,Opeth
a3sYPX17cFk,Moon Above Sun Below,Opeth
Hm7vnOC4hoY,Last Resort,Papa Roach
iqq2w-iCPMw,Who do You Trust,Papa Roach
serV18MirGg,Hit Me With Your Best Shot,Pat Benatar
c_BcivBprM0,Because The Night,Patti Smith
gkfYEBFEhK0,Dancing Barefoot,Patti Smith
Fy6sqk_UCvw,Pissin' in a River,Patti Smith
B3l0kpl5tA4,King of Pain,The Police
OMOGaugKpzs,Every Breath You Take,The Police
nH0vjLwMyc4,Can't Stand Losing You,The Police
ff-DZ78s2JA,Break Up the Concrete,The Pretenders
wf73xqZvk6k,Loaded,Primal Scream
c2zIAbsp8oM,Purple Rain,Prince
Wz_DNrKVrQ8,Another One bites the Dust,Queen
fJ9rUzIMcZQ,Bohemian Rhapsody,Queen
HgzGwKwLmgM,Don't Stop Me Now,Queen
Lp3kcHchD1Y,Bombtrack,Rage Against The Machine
bWXazVhlyxQ,Killing In the Name,Rage Against The Machine
rqkMsXcHQYg,Take the Power Back,Rage Against The Machine
t9Ir7cHYDdo,Black Sheep of the Family,Rainbow
p3VgV31vmUE,Catch the rainbow,Rainbow
p9nfVrusSMg,Man on the Silver Mountain,Rainbow
4cn_woPvjQI,Black Betty,Ram Jam
UUghD5p8GJA,Right on the Money,Ram Jam
IZAx9T8rf6Y,Keep Your Hands on the Wheel,Ram Jam
Nt9EYSpzlTg,Get Around Town,Revolver
RbmS3tQJ7Os,Gimme Shelter,The Rolling Stones
GgnClrx8N2k,Sympathy for the Devil,The Rolling Stones
jv9sDn_2XkI,You Can't Always Get what you Want,The Rolling Stones
-hwiCkU73NA,Don't Let Me Be Misunderstood,Santa Esmeralda
wyQUCYl-ocs,Black Magic Woman,Santana
2pUiI3fZB4E,Marbles,Santana
j5AUm_xaE9A,Samba Pa Ti,Santana
z-mxBDuRaZ8,Lazy Eye,Silversun Pickups
CdqoNKCCt7A,Don't You (Forget About Me),Simple Minds
qjuEXKwnkLE,I remember You,Skid Row
ZCpLH93Vxrc,Youth Gone Wild,Skid Row
8ay_BkRuv-o,All Star,Smash Mouth
Y21VecIIdBI,Superstar,Sonic Youth
5rZtpO2AmDE,Anti-Orgasm,Sonic Youth
rP3ovD8ZSS4,Incinerate,Sonic Youth
OMAIsqvTh7g,Stuck In The Middle With You,Stealers Wheel
An4uDegHB8s,Little Wing,Stevie Ray Vaughn
0vo23H9J8o8,Pride And Joy,Stevie Ray Vaughn
0t73ZTRCdIc,Little Wing,Sting
pm3rDbXbZRI,Shape of my Heart,Sting
d27gTrPPAyk,Englishman in New York,Sting
mbAyj1h9vI0,Stray Cat Strut,Stray Cats
K8IK50DO9dI,Breakfast in America,Supertramp
ZQNQg31NbFI,Give a Little Bit,Supertramp
pJPMesAnsU8,Goodbye Stranger,Superteramp
EIxsPBbZ_b8,In the Army Now,Status Quo
x67jtMPfdTw,Fat Girl,Steel Panther
r6jIXtJy4oM,Eye of the Panther,Steel Panther
rMbATaj7Il8,Born to be Wild,Steppenwolf
U4WiyxXpyZc,Magic Carpet Ride,Steppenwolf
3XqyGoE2Q4Y,The Pusher,Steppenwolf
V5YOhcAof8I,The Trip,Still Corners
G6Vw9RGm1tM,I Want Candy,The Strangeloves
O52jAYa4Pm8,Psycho Killer,Talking Heads
tyW5g9DtuU0,Emerald,Thin Lizzy
gqSzDJGFCgI,Bad Reputation,Thin Lizzy
6fQuEqwQ2I4,Battle Without Honor or Humanity,Tomoyasu hotei
yMMz2VwbhVI,Schism,Tool
Tja6_h4lT6A,Forty Six & 2,Tool
_tcW-j7KFgY,Lateralus,Tool
K2O9ryz7Eik,Rosanna,Toto
8mkmUdUYgH0,Hold the Line,Toto
QecyUEvvKmM,Till the End,Toto
WfD8Dnh2xho,Antisocial,Trust
9ZEURntrQOg,Happy Together,The Turtles
CQ0ftoiIQxU,We're not Gonna Take It,Twisted Sister
Yj9Rm92ioTI,I Wanna Rock,Twisted Sister
FIAWuIcyZ3M,Argent Trop Cher,Téléphone
OGNhncQLQJA,Ça,Téléphone
6xcwt9mSbYE,Heroin,The Velvet Underground
KisHhIRihMY,Pale Blue Eyes,The Velvet Underground
rwo0gpa6MJY,Oh! Sweet Nuthin',The Velvet Underground
_wFMY0r7X-w,Daydream,Wallace Collection
ENXvZ9YRjbo,Say it Ain't So,Weezer
4AKbUm8GrbM,Pinball Wizard,The Who
SHhrZgojY1Q,Won't Get Fooled Again,The Who
dMrImMedYRo,Behind Blue Eyes,The Who
7CAYFIpi89k,How to fight Loneliness,Wilco
sifqGTzLGck,I'll Fight,Wilco
efq95Pfqt5U,Jesus etc.,Wilco
_pHT9yYFdZg,Play that funky Music,Wild Cherry
SmpelduRY3I,Periodically Double or Triple,Yo la Tengo
YxWLVRlGa10,Gasoline Man,The Young Gods
k4VFFBCa5Aw,Gimme All Youl Lovin',ZZ Top
Vppbdf-qtGU,La Grange,ZZ Top
Pn2-b_opVTo,Sharp Dressed Man,ZZ Top